Id,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SaleType
1461,5,1961,882,896,1,1,WD
1462,6,1958,1329,1329,1,1,WD
1463,5,1997,928,1629,2,2,WD
1464,6,1998,926,1604,2,2,WD
1465,8,1992,1280,1280,2,2,WD
1466,6,1993,763,1655,2,2,WD
1467,6,1992,1168,1187,2,2,WD
1468,6,1998,789,1465,2,2,WD
1469,7,1990,1300,1341,1,2,WD
1470,4,1970,882,882,1,2,WD
1471,7,1999,1405,1337,2,2,WD
1472,6,1971,483,987,1,1,COD
1473,5,1971,525,1092,1,1,WD
1474,6,1975,855,1456,2,2,WD
1475,7,1975,836,836,1,1,WD
1476,9,2009,1590,2334,2,3,New
1477,8,2009,1544,1544,2,3,New
1478,9,2005,1698,1698,2,3,WD
1479,8,2005,1822,1822,2,3,WD
1480,9,2003,2846,2696,2,3,WD
1481,8,2002,1671,2250,2,3,WD
1482,8,2006,1370,1370,2,2,WD
1483,6,2005,1324,1324,2,2,WD
1484,7,2006,1145,1145,2,2,WD
1485,7,2004,384,1374,2,2,WD
1486,7,2004,847,1733,2,2,WD
1487,8,1998,1629,2475,2,3,WD
1488,8,2005,1595,1595,2,3,WD
1489,7,2009,1218,1218,2,2,New
1490,6,2005,1468,1468,2,2,WD
1491,7,2004,831,1659,2,2,WD
1492,5,1920,816,1012,1,1,WD
1493,6,1974,1208,1494,2,2,WD
1494,8,1993,1231,2349,2,3,WD
1495,8,1992,1390,2225,2,3,WD
1496,7,2004,1488,1488,2,2,WD
1497,7,2004,840,1680,2,2,WD
1498,7,2004,600,1200,2,2,ConLD
1499,7,2004,600,1200,2,2,WD
1500,6,2005,600,1236,2,2,WD
1501,6,2000,756,1512,2,2,WD
1502,7,2003,530,1080,2,2,WD
1503,8,2010,1642,1418,1,3,New
1504,8,2000,975,1848,2,2,WD
1505,7,2002,1492,1492,2,2,WD
1506,6,1967,1829,1829,2,2,WD
1507,6,1993,1280,2495,2,2,WD
