Id,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,SaleType,GarageCars,SalePrice
1,7,2003,856,1710,2,WD,2,208500
2,6,1976,1262,1262,2,WD,2,181500
3,7,2001,920,1786,2,WD,2,223500
4,7,1915,756,1717,1,WD,3,140000
5,8,2000,1145,2198,2,WD,3,250000
6,5,1993,796,1362,1,WD,2,143000
7,8,2004,1686,1694,2,WD,2,307000
8,7,1973,1107,2090,2,WD,2,200000
9,7,1931,952,1774,2,WD,2,129900
10,5,1939,991,1077,1,WD,1,118000
11,5,1965,1040,1040,1,WD,1,129500
12,9,2005,1175,2324,3,New,3,345000
13,5,1962,912,912,1,WD,1,144000
14,7,2006,1494,1494,2,New,3,279500
15,6,1960,1253,1253,1,WD,1,157000
16,7,1929,832,854,1,WD,2,132000
17,6,1970,1004,1004,1,WD,2,149000
18,4,1967,0,1296,2,WD,2,90000
19,5,2004,1114,1114,1,WD,2,159000
20,5,1958,1029,1339,1,COD,1,139000
21,8,2005,1158,2376,3,New,3,325300
22,7,1930,637,1108,1,WD,1,139400
23,8,2002,1777,1795,2,WD,2,230000
24,5,1976,1040,1060,1,WD,2,129900
25,5,1968,1060,1060,1,WD,1,154000
26,8,2007,1566,1600,2,WD,3,256300
27,5,1951,900,900,1,WD,2,134800
28,8,2007,1704,1704,2,WD,3,306000
29,5,1957,1484,1600,1,WD,1,207500
30,4,1927,520,520,1,WD,1,68500
31,4,1920,649,1317,1,WD,1,40000
32,5,1966,1228,1228,1,WD,1,149350
33,8,2007,1234,1234,2,WD,2,179900
34,5,1959,1398,1700,1,WD,2,165500
35,9,2005,1561,1561,2,WD,2,277500
36,8,2004,1117,2452,3,WD,3,309000
37,5,1994,1097,1097,1,WD,2,145000
38,5,1954,1297,1297,1,WD,2,153000
39,5,1953,1057,1057,1,WD,1,109000
40,4,1955,0,1152,2,WD,0,82000
41,6,1965,1088,1324,2,WD,2,160000
42,5,1959,1350,1328,1,WD,1,170000
43,5,1983,840,884,1,WD,2,144000
44,5,1975,938,938,1,WD,1,130250
45,5,1959,1150,1150,1,WD,1,141000
46,9,2005,1752,1752,2,WD,2,319900
47,7,2003,1434,2149,1,WD,2,239686
48,8,2006,1656,1656,2,WD,3,249700
49,4,1920,736,1452,2,New,0,113000
50,5,1966,955,955,1,WD,1,127000
51,6,1997,794,1470,2,WD,2,177000
52,6,1934,816,1176,1,WD,2,114500
53,5,1963,816,816,1,WD,2,110000
54,9,1981,1842,1842,0,WD,3,385000
55,5,1955,384,1360,1,WD,2,130000
56,6,1964,1425,1425,2,WD,2,180500
57,8,1999,970,1739,2,WD,2,172500
58,7,2004,860,1720,2,WD,2,196500
59,10,2006,1410,2945,3,New,3,438780
60,5,1972,780,780,1,WD,1,124900
61,6,2004,1158,1158,1,New,2,158000
62,5,1920,530,1111,1,WD,1,101000
63,8,2006,1370,1370,2,WD,2,202500
64,7,1921,576,1710,2,WD,2,140000
65,7,1997,1057,2034,2,WD,2,219500
66,8,2004,1143,2473,2,WD,3,317000
67,7,1970,1947,2207,2,WD,2,180000
68,7,2003,1453,1479,2,WD,2,226000
69,4,1945,747,747,1,WD,1,80000
70,7,1953,1304,2287,2,WD,2,225000
71,7,1973,2223,2223,2,WD,2,244000
72,4,1982,845,845,1,WD,2,129500
73,7,1998,832,1718,2,WD,2,185000
74,5,1954,1086,1086,1,WD,2,144900
75,3,1915,840,1605,2,WD,1,107400
76,4,1973,462,988,1,WD,1,91000
77,4,1956,952,952,1,WD,1,135750
78,5,1948,672,1285,1,WD,1,127000
79,4,1968,1768,1768,2,WD,0,136500
80,5,1910,440,1230,1,WD,2,110000
81,6,1968,896,2142,2,WD,1,193500
82,6,1998,1237,1337,2,WD,2,153500
83,8,2007,1563,1563,2,WD,3,245000
84,5,1960,1065,1065,1,COD,2,126500
85,7,1995,384,1474,2,WD,2,168500
86,8,1991,1288,2417,2,WD,2,260000
87,6,2005,684,1560,2,WD,2,174000
88,6,2009,612,1224,2,New,2,164500
89,3,1915,1013,1526,1,ConLD,0,85000
90,4,1994,990,990,1,WD,0,123600
91,4,1950,0,1040,1,WD,2,109900
92,5,1961,1235,1235,1,WD,2,98600
93,5,1921,876,964,1,WD,2,163500
94,6,1910,1214,2291,2,WD,2,133900
95,6,1997,824,1786,2,WD,2,204750
96,6,1993,680,1470,2,WD,2,185000
97,7,1999,1588,1588,2,WD,2,214000
98,4,1965,960,960,1,WD,1,94750
99,5,1920,458,835,1,COD,1,83000
100,4,1959,950,1225,1,WD,0,128950
101,6,1977,1610,1610,2,WD,2,205000
102,6,1985,741,1732,2,WD,2,178000
103,5,1979,0,1535,2,WD,2,118964
104,7,2009,1226,1226,2,WD,3,198900
105,7,1931,1040,1818,1,WD,1,169500
106,8,2003,1053,1992,2,WD,2,250000
107,4,1885,641,1047,1,WD,1,100000
108,5,1948,789,789,1,WD,1,115000
109,5,1919,793,1517,2,WD,0,115000
110,6,1977,1844,1844,2,COD,2,190000
111,6,1954,994,1855,2,WD,1,136900
112,7,2000,384,1430,2,WD,2,180000
113,7,2007,1264,2696,2,New,3,383970
114,6,1953,1809,2259,2,COD,2,217000
115,6,1945,1028,2320,2,WD,1,259500
116,6,1999,729,1458,2,WD,2,176000
117,5,1962,1092,1092,1,WD,1,139000
118,5,2006,1125,1125,1,New,2,155000
119,7,1990,1673,3222,3,WD,3,320000
120,6,2005,728,1456,2,New,2,163990
121,6,1969,938,988,1,WD,2,180000
122,4,1939,732,1123,1,WD,1,100000
123,6,1958,1080,1080,1,WD,1,136000
124,6,1993,1199,1199,2,WD,2,153900
125,6,1979,1362,1586,2,WD,2,181000
126,6,1935,520,754,1,WD,0,84500
127,6,1976,1078,958,2,WD,2,128000
128,5,1930,672,840,1,WD,0,87000
129,6,1966,660,1348,1,WD,2,155000
130,5,1958,1008,1053,1,WD,2,150000
131,7,1966,924,2157,2,WD,2,226000
132,6,2000,992,2054,2,WD,2,244000
133,5,1959,1063,1327,1,WD,2,150750
134,8,2001,1267,1296,2,WD,2,220000
135,5,1968,1461,1721,2,WD,2,180000
136,7,1970,1304,1682,2,WD,2,174000
137,5,1967,1214,1214,2,WD,1,143000
138,7,1988,1907,1959,3,WD,3,171000
139,8,1999,1004,1852,2,WD,3,230000
140,6,1997,928,1764,2,WD,2,231500
141,4,1971,864,864,1,ConLI,0,115000
142,7,2005,1734,1734,2,WD,2,260000
143,5,1952,910,1385,2,WD,2,166000
144,7,1999,1490,1501,2,WD,2,204000
145,5,1963,1728,1728,2,ConLI,2,125000
146,6,2004,970,1709,2,WD,2,130000
147,5,1931,715,875,1,WD,1,105000
148,7,2001,884,2035,2,WD,2,222500
149,7,2004,1080,1080,1,WD,0,141000
150,5,1936,896,1344,1,WD,1,115000
151,5,1975,969,969,1,WD,2,122000
152,8,2007,1710,1710,2,New,3,372402
153,6,1971,825,1993,2,WD,2,190000
154,6,1960,1602,1252,1,WD,2,235000
155,6,1923,1200,1200,1,WD,1,125000
156,6,1924,572,1096,1,WD,0,79000
157,5,1950,0,1040,1,WD,2,109500
158,8,2009,774,1968,2,New,3,269500
159,7,2004,991,1947,2,WD,2,254900
160,7,2005,1392,2462,2,New,2,320000
161,6,1984,1232,1232,2,WD,2,162500
162,9,2003,1572,2668,2,WD,3,412500
163,7,2005,1541,1541,2,New,2,220000
164,4,1956,882,882,1,WD,0,103200
165,6,1926,1149,1616,2,WD,1,152000
166,5,1940,644,1355,2,WD,0,127500
167,5,1955,1617,1867,1,COD,1,190000
168,8,2007,1582,2161,1,New,3,325624
169,7,2004,840,1720,2,WD,2,183500
170,8,1981,1686,1707,2,WD,2,228000
171,5,1941,720,1382,1,WD,2,128500
172,6,1960,1080,1656,1,WD,2,215000
173,7,1987,1064,1767,2,WD,2,239000
174,6,1961,1362,1362,1,COD,2,163000
175,6,1986,1606,1651,2,WD,2,184000
176,6,1950,1202,2158,2,WD,2,243000
177,6,1988,1151,2060,2,WD,2,211000
178,5,1958,1052,1920,2,WD,2,172500
179,9,2008,2216,2234,2,New,3,501837
180,5,1923,968,968,1,WD,2,100000
181,6,2000,756,1525,2,WD,2,177000
182,7,1920,793,1802,1,WD,1,200100
183,5,1957,0,1340,1,WD,1,120000
184,7,2003,1362,2082,2,WD,2,200000
185,5,1908,504,1252,1,WD,2,127000
186,10,1892,1107,3608,2,WD,3,475000
187,7,1990,1188,1217,2,WD,2,173000
188,5,1916,660,1656,2,WD,1,135000
189,5,1979,1086,1224,0,WD,2,153337
190,8,2001,1593,1593,1,WD,2,286000
191,8,1932,853,2727,2,WD,2,315000
192,7,1972,725,1479,1,WD,2,184000
193,7,1999,1431,1431,2,WD,2,192000
194,7,2004,970,1709,2,WD,2,130000
195,5,1972,864,864,1,WD,1,127000
196,6,1976,855,1456,2,WD,2,148500
197,7,2007,1726,1726,2,New,3,311872
198,8,1918,1360,3112,2,WD,2,235000
199,6,1912,755,2229,1,WD,0,104000
200,8,2004,1713,1713,2,WD,3,274900
201,4,2003,1121,1121,2,WD,2,140000
202,6,1977,1196,1279,2,WD,2,171500
203,6,1924,617,1310,2,COD,1,112000
204,6,2004,848,848,1,WD,2,149000
205,5,1947,720,1284,1,WD,1,110000
206,7,1990,1424,1442,2,WD,2,180500
207,5,1962,1140,1696,1,WD,1,143900
208,4,1960,1100,1100,1,WD,1,141000
209,7,1988,1157,2062,2,WD,2,277000
210,6,1964,1092,1092,1,WD,2,145000
211,5,1925,864,864,1,WD,0,98000
212,6,2009,1212,1212,2,WD,2,186000
213,7,2009,900,1852,2,New,2,252678
214,5,1995,990,990,1,WD,2,156000
215,6,1977,689,1392,1,WD,1,161750
216,5,1957,1070,1236,1,WD,1,134450
217,7,2004,1436,1436,2,WD,2,210000
218,4,1925,686,1328,1,WD,1,107000
219,7,1939,798,1954,1,WD,2,311500
220,7,2005,1248,1248,2,New,2,167240
221,7,2006,1498,1498,2,New,2,204900
222,6,2002,1010,2267,2,ConLI,2,200000
223,6,1975,713,1552,2,WD,2,179900
224,4,1971,864,864,1,WD,2,97000
225,10,2003,2392,2392,2,WD,3,386250
226,5,1971,630,1302,2,COD,1,112000
227,7,1995,1203,2520,2,WD,3,290000
228,6,1970,483,987,1,WD,1,106000
229,5,1967,912,912,1,WD,1,125000
230,7,2005,1373,1555,2,WD,2,192500
231,6,1959,1194,1194,1,WD,1,148000
232,8,1995,1462,2794,2,WD,3,403000
233,6,1972,483,987,1,WD,1,94500
234,5,1976,894,894,1,WD,1,128200
235,6,2002,860,1960,2,WD,2,216500
236,6,1971,483,987,1,WD,1,89500
237,7,2004,1414,1414,2,WD,2,185500
238,7,1993,996,1744,2,WD,2,194500
239,8,2007,1694,1694,2,New,3,318000
240,6,1945,735,1487,1,WD,1,113000
241,8,2008,1566,1566,2,WD,2,262500
242,5,1945,686,866,1,WD,0,110500
243,5,1900,540,1440,1,WD,1,79000
244,6,1980,626,1217,1,WD,1,120000
245,7,1994,948,2110,2,WD,2,205000
246,7,1988,1845,1872,2,WD,2,241500
247,6,1910,1020,1928,2,WD,1,137000
248,6,1954,1367,1375,1,WD,2,140000
249,7,2003,840,1668,2,WD,2,180000
250,6,1958,1444,2144,2,WD,2,277000
251,3,1940,728,1306,1,WD,0,76500
252,8,2006,1573,1625,2,WD,2,235000
253,6,2004,798,1640,2,WD,2,173000
254,6,1964,1302,1302,2,CWD,1,158000
